id,nft_rank,rarity score new,img_url,is_one_of_one,background,mushroom,skin,clothes,mouth,eyes,item,head,accessory,trait_count
4015,3603,158.09,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_4015/image.svg,No,Mint,Common,Brown,T-shirt - Fly - Red,Laugh,Croaked,Lightsaber - Blue,Brain,None,5
2614,3604,158.09,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_2614/image.svg,No,Purple,Grey,Pink,Hoodie - Camo,Laugh - Teeth,Right Down,None,Cap - Black,None,4
3263,3605,158.06,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_3263/image.svg,No,Grey,Blue,Orange,Turtleneck - Blue,Pipe,Contentful,Lightsaber - Blue,None,None,4
3671,3606,158.05,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_3671/image.svg,No,Orange,Brown,Purple,T-shirt - Fly - Red,Pipe,Tired,None,Cap - Brown,None,4
7905,3607,158.03,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_7905/image.svg,No,Yellow,Common,OG Green,T-shirt - Rocket - Blue,Laugh - Teeth,Hearts,None,Cap - Red,None,4
1618,3608,158.01,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_1618/image.svg,No,Brown,Green,Grey,Hoodie - Camo,Rainbow Vom,Wide Up,Lightsaber - Green,None,None,4
3752,3609,158.01,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_3752/image.svg,No,Green,Orange,Brown,T-shirt - Fly - Blue,Meh,Tired,None,Cap - Brown,None,4
3229,3610,157.98,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_3229/image.svg,No,Brown,Blue,Purple,T-shirt - Fly - Red,Smile,Eye Patch - Right,None,Pirate Hat,None,4
3065,3611,157.98,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_3065/image.svg,No,Mint,Orange,Orange,Hoodie - Pink,Smile Big,Right Down,Wand Right,Pirate Hat,None,5
5739,3612,157.97,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_5739/image.svg,No,Sky,Orange,Orange,Hoodie - White,O,Eye Patch - Left,None,Pirate Hat,None,4
